Unnamed: 0,content,Quality,Service,Shipping,Packing
3,Không hiểu kiểu gì nà lại giao cho mình 1 cuốn unseal 🙃 gói cũng không bao giờ có bọc chống sốc càng ngày càng giảm chất lượng h thêm vụ unseal nữa mắc mệt,,0,,0
60,"Tôi đã mua sách ở Tiki rất nhiều lần rồi nhưng đây là lần đầu tiên mà Tiki khiến tôi không hài lòng. Đơn hàng tôi đặt 3 cuốn đều có sử dụng bookcare mà Tiki chỉ bọc cho tôi 2 cuốn, chừa lại 1 cuốn để làm gì????? Trong khi đó Tiki trừ của tôi 3 cái bookcare. Tại sao Tiki có thể mắc một lỗi sơ đẳng như vậy. Trước khi nhân viên đóng gói không có kiểm tra lại đơn hàng sao??? Tôi mua sách ở trên Tiki vì sách có thể được bọc bookcare để tôi bảo quản sách vậy mà giờ lại không có bọc!!!!",,0,,0
248,"Mọi lần rất ưng mua sách ở Tiki nhưng lần này thật sự rất rất thất vọng từ cách đóng gói cho đến bảo quản sách. Sách bọc cẩu thả ko chống sốc cong hết mép sách, bẩn hết sách nhìn sách mà xót xa. Mình tức lắm với lần giao hàng này của tiki",,0,,0
312,"Lần này m khá thất vọng về cách đóng gói của Tiki_x000D_
Sách đóng gói trong hộp quá sơ sài,  nhưng hộp còn bị rách như này._x000D_
Đã thế m mua 4 cuốn nhưng chỉ 1 cuốn được bao nilong. _x000D_
Hộp rách + sách không bao nilong + mùa mưa =  thế nào ạ???",,0,,0
717,"giao hàng thiếu 1 con ốc thì dùng kiểu gì, tron khi hộp sản phẩm bị thủng 1 lỗ từ trước, cái này là biết sp bị thiếu rồi mà vẫn gửi cho khách",,0,,0
730,"Sách đẹp, giấy đẹp mà Tiki lại làm bẩn cả móp sách. Ship 2 quyển 1 quyển đc bọc nilong tử tế còn 1 quyền để tơ hơ cứ như sách dùng rồi vậy",1,0,,0
887,"Đóng gói cẩu thả, sản phẩm là ổ cứng di động rất dễ hỏng hóc mà không có bất kì miếng lót chống sốc hay ghi chú hàng dễ vỡ, chỉ có 1 hộp carton mỏng bên ngoài. Mình thấy nhiều bạn phản ánh ở trên lâu rồi nhưng có vẻ như Tiki không tiếp nhận ý kiến đóng góp.",,0,,0
1157,công nhận TIKI dán tem rất tinh tế. dán vầy rồi sao sài???,,0,,0
1307,"Sau bao nhiêu đánh giá về đóng gói, Tiki vẫn không lắng nghe khách hàng và thay đổi. Mặc cho các bạn nhân viên chăm sóc có trả lời đánh giá, có ghi nhận sự việc nhưng hầu như bộ phận đóng gói vẫn thờ ơ và vô trách nhiệm với sản phẩm của chính các bạn là nhà cung cấp. Là một sàn thương mại điện tử, là một đơn vị bán hàng cho khách mà cách các bạn đóng gói một mặt hàng điện tử nói chung và ổ cứng nói riêng như thế này là không thể chấp nhận được. 
Không hề có xốp chèn hay bọt hơi giảm chấn trong hộp. Chỉ duy nhất ổ cứng đựng trong nilon của hãng cho vào hộp giấy rộng gấp đôi. Thử hỏi một mặt hàng có tính chất dễ hư hỏng do va chạm, rung lắc như ổ cứng mà Tiki đóng gói như thế thì sẽ ảnh hưởng thế nào? Có ai tưởng tượng được từ Tiki Trading giao đến khách hàng sẽ trải qua bao nhiêu khâu vận chuyển, bốc xếp, chồng chất hàng không? Thật không dám nghĩ đến. 
Tiki à, là một sàn thương mại điện tử, cũng như đơn vị bán hàng trực tiếp, các bạn không chỉ bán món hàng. Mà còn bán cả dịch vụ, lương tâm nghề nghiệp nữa đấy. Chúng tôi - những khách hàng - người góp phần tạo thu nhập, phát triển cho các bạn, chúng tôi cần hơn 1 sản phẩm. Chúng tôi cần sự lắng nghe, thấu hiểu và hành động ở từng dịch vụ của các bạn. Chứ không phải là những con chữ ""Ghi nhận"" rồi thôi.",,0,,0
1316,"K có bọc chỉ có mỗi cái hộp ko thôi_x000D_
Sách như sách cũ rách cả ra nhăn rồi cảm giác sờ vào nó cứ bẩn bẩn_x000D_
Đúng là sách rẻ thật nhg phục vụ k ổn tí nào_x000D_
H tiki còn k cẩn thận với sách bằng shoppee_x000D_
May là đc chú shipper quen bù lại",,0,1,0
1390,Hàng giao nhanh nhưng đóng gói sơ sài không tương xứng với giá trị sp. K đủ đảm bảo cho sp. Hộp bị móp nên không hài lòng lắm. Lần đầu mua sp giá trị cao qua mạng nên mình mong muốn sẽ nhận đc dịch vụ tốt hơn. Chắc lần sau ra cửa hàng cho yên tâm,,0,1,0
1559,"truyện thì k có seal, mình đặt bản có poster mà chỉ giao mỗi truyện. trộm vía k bọc chống sốc mà truyện vẫn k bị df 😭 RẤT TỆ LUÔN TIKI ƠI",,0,,0
1942,Hàng được bỏ trong hộp không nắp đậy. Nhìn như hàng chợ. Không giống như hình quảng cáo trên app và fb.,,0,,0
2023,"nxb Kim Đồng thông tin công khai là tập nào cũng có bookmark đi kèm, nhưng lại đóng gói thiếu bookmark cho sản phẩm này dù sản phẩm còn nguyên màng co. nghĩ công đổi trả tốn 2 lần ship của Tiki nên mình không đổi. nhưng hơi buồn, vì bookmark tập này đẹp quá xá.",,0,,0
2560,Đạt loại 2666 nhưng lại giao loại 2400. Đóng gói chỉ có bao nilon cực kỳ sơ sài. Đã báo cáo tiki và yêu cầu trả hàng hoàn tiền,1,0,1,0
2576,"Đổi trả hàng thì cũng đưa cho cuốn sách không khá gì hơn cuốn trước. Đóng gói hàng quá chán, không biết rút kinh nghiệm lần trước. Sách thì vẫn gãy cạnh tùm lum, màu vẫn bị lem. Quá tệ trong cách làm việc. Không hiểu lí do vì sao có thể thiếu chuyên nghiệp và không biết sửa đổi như vậy. Muốn người ta tin tưởng và giữ chân được khách hàng thì phải làm ăn cho đàng hoàng, đâu ra cái cách làm việc tệ hại như vậy chứ.",1,0,1,0
2606,"Vì Tiki yêu cầu đánh giá nên mình viết đánh giá đây. Rất mong nhà bán cải thiện dịch vụ chăm sóc khách hàng. Là một người yêu sách, hay một người bán sách, xin hãy trân trọng sách vở với ạ!! Không thể chấp nhận được thói cẩu thả của một kẻ làm việc với sách mà không biết trân trọng sách!!!!",1,0,1,0
2750,"Sr mọi người mình ko đem đến cảm nhận về cuốn sách. 
Mình thông cảm tình hình dịch khó khăn, ĐL cũng cách xa SG nên việc vận chuyển sẽ càng lâu và bị dồn dập. Và đơn hàng của mình mất 2 tháng để nhận được. 
Mình cũng ko hy vọng là phần hộp sẽ ngay ngắn nguyên vẹn nhưng ít nhất, bên trong cuốn sách sẽ được bọc nilong cho chặng đường xa.
Kết quả là khi mình lấy hàng ra thì mọi cuốn sách đều bị dập rất nặng, gãy mép, thậm chí bụi từ thùng giấy phủ hết sách và ko 1 cuốn nào được bọc dù chỉ 1 lớp mỏng cho an toàn. Vì vậy nhìn cuốn nào cũng bị hơi cũ.
Mình khá buồn và mong những lần mua hàng tới Tiki thật sự khắc phục được khuyết điểm này",1,0,1,0
2804,"đóng gói khong cẩn thận, chăm sóc khách hàng kém, không phải kém ở khâu nhân viên mà kém ở quy trình giải quyết khiếu nại.",1,0,1,0
2809,"Bưu kiện không được bọc chống sốc.
Quyển này may nhờ có cái bọc bao bên ngoài nên đỡ bị ảnh hưởng.
Tiki không giao bộ bookmark như trong đơn hàng, tại sao thế?",1,0,1,0
2923,"Góp ý lần thứ “N” với Tiki là xin hãy làm ơn, đóng gói hàng chuyển đi cho thêm chống sốc dùm tui, bao nhiêu trường hợp sách dơ sách bị móp méo hư hại rồi? Bao nhiêu phản hồi của khách hàng về trường hợp đóng gói hàng “ẨU TẢ VÔ TRÁCH NHIỆM VÀ THIẾU Ý THỨC” cũng như trong khâu kiểm duyệt chất lượng sản phẩm trước khi gửi đi rồi? BAO NHIÊU RỒI HẢ TIKI? Hay mấy bạn lại lôi cái câu trả lời như một con robot ra mà phản hồi lại khác hàng?
Hông lẽ giờ đem sách tới văn phòng của mấy bạn mà “PHẢN HỒI CHÂN THẬT” luôn nhỉ? Thêm cái nữa là mình muốn dán tờ giấy lên trán của mấy bạn với dòng chữ “ĐÓNG GÓI HÀNG ẨU TẢ” cho nó chân thật hết mức có thể!
Góp ý đi góp ý lại toàn trả lời một kiểu, làm ăn như vậy bảo khách hàng ủng hộ Tiki vì nó là của Việt Nam, nhưng cách làm việc của các bạn chẳng khác gì bọn Trung Quốc!",1,0,1,0
3517,"Buôn bán mất dạy, hàng gói cẩu thả, đến tay thì xước xát, đặt đĩa lòng đen mà giao không đúng.",1,0,1,0
