Unnamed: 0,content,Quality,Service,Shipping,Packing
6,"Mình cũng đã không hài lòng việc bảo quản sản phẩm của bên Tiki Trading từ hôm mua hơn 10 dây giấy vệ sinh hoặc mua giấy hộp đều bị móp méo. Đến hôm nay nhận 10 ram giấy A4 nghĩ rằng 1 thùng 5 ram thì mình sẽ nhận được 2 thùng nguyên vẹn hoàn chỉnh. Đây nhận được 10 Ram giấy trong bao nilong trắng bị sờm rách xong băng bằng băng dinh tứ lung tung, làm cho ram giấy nào cũng dính nhằng nhằng. Rât không hài lòng và băn khoăn về chất lượng hàng hóa",0,0,,0
11,"hàng là ổ cứng hdd, mà không lót bất cứ 1 cái lớp chống shock nào? hộp khi nhận rách cả ra. Lần 1 nhận hàng cũng tương tự, hộp rách, hdd kiểu lưu kho lâu ngày cáu bẩn. đã liên hệ support yêu cầu để đổi trả và bọc hàng cẩn thận cho lần sau rồi. 
Lần 2 nhận hàng vẫn như vậy!?!?
Tiki không biết lắng nghe góp ý của khách hàng thì phải?!?!",0,0,,0
28,"Vừa nhận hàng mà thất vọng thật sự, sách k được bọc gì cả, đã vậy bên trong còn rách :)
Mình đã nhắn tin cho bên nhà sách, mong nhanh chóng nhận được phản hồi. Mình thấy nhiều bạn phàn nàn về vấn đề đóng gói hàng rồi nhưng có vẻ vẫn không cải thiện.",0,0,,0
89,"Góp ý thẳng mặt ông bà nào đứng đầu những khâu sau:
- Sách Tiki giao thì luôn bị dơ bẩn phần ruột sách, cái này thì chắc ai cũng bị không cần phải nói rồi nhỉ?
- Đóng gói không bao giờ có chống sốc hay có bất kỳ một phương pháp bảo vệ sách nào cả! Gáy sách hoặc phần bìa sách luôn bị cấn/móp/trầy/xướt!

Ẩu tả, thiếu ý thức, vô trách nhiệm trong khâu kiểm tra chất lượng sản phẩm và đóng gói sản phẩm trước khi vận chuyển. SLOGAN MỚI CỦA TIKI HAY GÌ VẬY?",0,0,,0
283,"Góp ý thẳng mặt ông bà nào đứng đầu những khâu sau:
- Sách Tiki giao thì luôn bị dơ bẩn phần ruột sách, cái này thì chắc ai cũng bị không cần phải nói rồi nhỉ?
- Đóng gói không bao giờ có chống sốc hay có bất kỳ một phương pháp bảo vệ sách nào cả! Gáy sách hoặc phần bìa sách luôn bị cấn/móp/trầy/xước!

Ẩu tả, thiếu ý thức, vô trách nhiệm trong khâu kiểm tra chất lượng sản phẩm và đóng gói sản phẩm trước khi vận chuyển. SLOGAN MỚI CỦA TIKI HAY GÌ VẬY?",0,0,,0
736,"Mình mua lần 3 cuốn, khi mở hộp ra thì như hình, hư hết bìa sách. Đây là lần thứ 3 mua sách ở tiki, vẫn ko có bọc nilon chống sốc, các góc sách bị dập hết, đóng gói tệ. Thấy ko vui trong lòng nên đánh giá 2 sao cho cả 3 cuốn. Nội dung sách thì chưa đọc nên chưa biết.",0,0,,0
1192,"Tiki làm ăn càng ngày càng ẩu, không còn bọc màng trong từng cuốn, đóng hộp cũng không ra gì, chưa ship đến nơi đã nát bung nát bấy, sách ố bẩn và sờn mép nhiều chỗ.
Quá mức tồi tệ",0,0,,0
1998,"Mua hộp 3 tầng nhưng giao 2 tầng, sản phẩm bể nắp đậy, bên trong phần inox gia công ẩu và dơ. Ly đứng cạnh cũng không giống mẫu, đóng gói cẩu thả, sơ sài",0,0,,0
2205,"Lần đầu tiên mua bộ boxset mà m thấy thất vọng lun ấy. M dành số tiền tiết kiệm lớn để mua bộ này vì thích quá nhưng nhận hàng về lại hơi buồn. Mới về thì hộp gói bên ngoài bị rách hết, móp méo khủng khiếp. Mở ra thì box bị dập khá nhiều ở góc, gáy sách cũng bị trầy, box dính nhiều keo mà m phải lấy khăn lau mãi mới hết, box cũng lỗi khá nhiều nữa. Còn đồ họa và hình trang trí thì m không bàn đến vì quá ưng rồi. Nhưng có lẽ lối dịch không hợp với m lắm và có đôi chỗ sách ghi sai chính tả nữa nên m thấy không hài lòng cho lắm. Bù lại mỗi quyển có 1 bookmark riêng và nhìn chung thì truyện cũng hay lắm a. Chỉ mong NXB Trẻ và Tiki chú ý hơn trước khi mang sách đến tay người tiêu dùng",0,0,,0
2233,"sách bị hư phần cạnh, 0 seal, 0 chống sốc, hộp carton còn chả đc nguyên vẹn nữa, tiki làm mình ú òa thật sự",0,0,,0
