Unnamed: 0,content,Quality,Service,Shipping,Packing
4,"Giao sai màu, không biết tại sao nfc không dùng được",0,0,,
26,"Mình mua 1 đơn 6 món, mấy quyển kia thì OK. riêng quyển  này bìa sách bị bóc nhìn không thẩm mỹ tí nào. Tiki lần sau nên kiểm tra sách trước khi giao chứ mình nhận mà như sách cũ thế này thật tình không ưng xí nào lun",0,0,,
29,Sao gấu màu vàng mà cái chăn màu nâu đâu đúng sản phẩm .. mà sao shop không gọi ?,0,0,,
44,"đổi sản phẩm, kéo dài thời gian, ram ko chạy đc mình ko thể sử dụng laptop",0,0,,
53,Đóng gói cẩu thả. Bán truyện thì nên có tâm một chút.,0,0,,
57,"Sách bìa cứng mà k chèn gì cả, chỉ có mỗi cái hộp các tông quá rộng so với cuốn sách, may mà k bị bẹp nhiều, tiki nên coi trọng sản phẩm cũng là coi trọng khách hàng hơn nữa",0,0,,
61,"Tiki trading bán hàng lỗi kỹ thuật. Tui mở ra bị nứt ngăn đựng bình lọc màu xanh. Chăm sóc khách hàng tiki cho rằng LỖI NGOẠI QUAN, và chỉ cho đổi trong 48h, quá thời gian đó không cho đổi trả. Lỗi ngoại quan thì tui dùng được, còn lỗi kỹ thuật thì tui không dùng được. Đừng mất tiền ngu.",0,0,,
82,rất không hài lòng. hộp mực hư cứ quay 1 vòng là bị sọc ngang (drum hư thì bị sọc dọc) mà không cho trả hàng. tôi có 1 hộp mực khác tôi đã test đi test lại nhiều lần. kĩ thuật viên chỉ kiểm tra chứ không thử trên máy in. giải quyết không thoả đáng. rất bực mình,0,0,,
83,Hàng kích hoạt bảo hành nhưng ko báo KH  làm ăn láo toét. Tiki càng ngày càng tệ,0,0,,
94,"Sản phẩm lỗi không dùng được, người bán không trả lời tin nhắn",0,0,,
137,"Tích cực: sản phầm nhìn khá đẹp mắt, cảm giác chắc chắn_x000D_
Tiêu cực:_x000D_
1. Mua hộp cơm kèm túi nhưng shop giao thiếu, phản ánh thì đc giao lại nhưng k thấy xin lỗi_x000D_
2. Hộp đựng hấp nó lên khá nhanh, nhưng làm nóng bát và đồ ăn thì cần đợi khoảng 15-20p_x000D_
3. Hộp inox bám muội đen, dù đã rửa sạch bằng nước rửa bát, tráng nước sôi, nhưng vẫn bám muội. Báo với shop thì có vẻ cũng nhiều ng bị rồi, nhưng không có cảnh báo, shop bảo phải dùng lực mạnh chà sẽ hết, mình chọn cách không sử dụng lại nữa vì sợ bám vào đồ ăn ảnh hưởng sức khỏe",0,0,,
151,"Tôi mua bếp từ ngày 10/9. Bắt đầu sử dụng từ ngày 22/9. Đến hôm qua 31/10 đang nấu ăn thì thấy có mùi khét cháy, sợ quá tắt bếp luôn. Gọi lên tổng đài tiki báo bảo hành nhờ qua xem lại nhưng sau 1 ngày chưa thấy bạn nhân viên kỹ thuật nào qua xem đánh giá cho mình.",0,0,,
186,"Trông quyển sách quá kinh khủng, bẩn, gáy sách thì hở. Thất vọng. Tiki nên xem lại",0,0,,
220,Cuốn sách khá mỏng và nhỏ. Khổ 13x19 và chỉ có 229 trang chứ không phải khổ 16x24 và 314 trang như tiki đăng. Đề nghị tiki điều chỉnh thông tin cho chính xác.,0,0,,
235,"NHÃ NAM DỊCH TỆ KINH KHỦNG!!!! Ko hiểu câu cú kiểu gì nữa??? 
Cuốn đầu tiên mình mua là “Ngọn Đồi Gió Hú” Đến giờ trong đầu mình vẫn văng vằng cái câu “Một tay cực kỳ!” của Nhã Nam dịch, ko hiểu người dịch có ý gì??? 
Giờ đến cuốn này nữa!!!!! “Các cổ phiếu ưu đãi thực sự tốt có thể tồn tại và đang tồn tại, chúng vẫn tốt bất kể hình thức đầu tư, một thứ vốn đã xấu” ????  Như dùng google dịch!

THẤT VỌNG.",0,0,,
239,"Đặt máy xp 350 giao xp365, sp giao nhầm giá rẻ hơn sp đặt mua, treo đầu dê bán thịt chó, hình như   cũng có nhiều khách bị giao sai giống mình, cái shop làm ăn lừa đảo chứ ko phải do sai sót nhầm lẫn, tiki nên xét duyệt shop kĩ càng hơn !!!",0,0,,
240,"Quá tệ!!!!!
Đặt màu vàng shop lại giao luôn cả 2 sợi nhiều màu, bóng nhựa bên ngoài thì sút ra khỏi bóng led. Nhắn tin cho shop 2 ngày rồi vẫn chưa trả lời luôn",0,0,,
260,"Dây cũ quá, túi bọc bị bẩn, rách, nói chung với giá tiền này thì tạm ổn. Đáng nhẽ lúc đầu phải nói rõ là dây đã qua sử dụng thì mình sẽ không ý kiến gì thêm",0,0,,
270,Đăng hình này mà giao cái khác. Quá thất vọng k bao giờ dám mua nua,0,0,,
289,"Shop giao cho mk bìa sách cũ quá. _x000D_
Rất tin tưởng tiki nhưng đây là lần nhận sách có trải nghiệm rất tệ với mk",0,0,,
299,"kích thước 25×25 nhưng giao 20×20.
không đáng tin.",0,0,,
301,"Mua combo ghi 10 cái, nhận hàng 8 cái. Mình mua hàng tiki lâu giờ mới gặp shop như vậy luôn. Ko đáng",0,0,,
313,"Lừa đảo, gian dối. Đặt combo 200 túi lọc nhưng thực tế là bao nilong, không thoát nước được. Số lượng 200 nhưng giao k đủ. Chỉ 99c. Sản phẩm k như mô tả.",0,0,,
319,Không giống như hình mẫu trên trang tiki- không tên hiệu LEIFHEIT,0,0,,
327,"Mấy lần trước mua của shop khác không sak. Nay thấy shol này rử hơn nên mua thử, về in cứ bị kẹt giấy hoài. Tưởng do máy in nên gửi đi bảo hành, bênnhangx bảo tại hộp mực cbuws máy không hư",0,0,,
329,đèn không vừa với máy tính của mình. Nhắn tin không thấy shop phản hồi lại. Đề nghị hỗ trợ mình để hoàn sản phẩm về. 1 sao về thái độ phục vụ,0,0,,
351,"Nhà cung cấp này không tốt vì:
1.Giao hàng không đúng hình ảnh đăng trên web, loại đăng trên web có 6 đèn led ở mặt trước, hàng thực giao chỉ có 1 đèn led ở mặt trước.
2. Switch dùng không tốt, chia ra 2 điểm phát wifi trong nhà thì nếu dùng đồng thời cả 2 điểm thì ở tầng trên các thiết bị rất hay bị đơ, lag. Nhưng nếu bỏ không dùng tàng dưới nữa thì thiết bị tầng trên lại vào mạng ngon lành. 
Hiện tại phải dùng cái modem cáp quang Viettel 2 cổng mới phải mua switch này.
Mạng cáp quang mà thay modem wifi dễ như mạng dây thì tôi mua modem 4 cổng thay vào và vứt ngay con swich này vào sọt rác
Thật là một sản phẩm tồi tệ và một nhà cung cấp tồi tệ, phí tiền mua, không đáng cho 1 sao, nhưng vẫn phải cho, vì không cho thì không gửi nhận xét được.",0,0,,
354,Sản phẩm bị lỗi mà bảo hành quá lâu.lỗi mic mà yêu cầu đổi mấy ngày chưa xử lý xong nữa.quá tệ,0,0,,
355,"Gối này mà gọi là cao su non ạ :)) Mua được một tháng, lúc mới mua về thì cái mùi nó cứ như mùi... giẻ lau để ướt bị mốc í, giặt xong vẫn còn mùi. Mỗi tội từ bé đến lớn chỉ nghe chứ chưa thấy tận mắt cao su non bao giờ, nên khi mở ruột gối ra mình không biết đó là... xốp. Cứ bấm bụng bảo, thôi mua được cái gối cao su non nên đành chấp nhận có nhược điểm này nọ. Gối cũng không ôm vừa cổ, cứ bị rộng rộng. Mình đi moji coi thấy mấy cái gối cute xỉu hình khủng long này nọ, to hơn mà giá cũng chỉ tầm 80120k. Cũng tự an ủi mình là gối cao su non nn nên mới mắc thế :) Ai ngờ về nhà nghỉ Tết, mới hôm kia bố mẹ mình có mua cái gối cao su non THẬT, hỏi bố tế cái gối của con là gì bố ơi mới lòi ra là xốp hihii, giờ thì mình biết cao su non là gì rồi. Cảm ơn shop vì trải nghiêm nhớ đời ạ!",0,0,,
360,"Hộp mực đểu, mua về lắp vào máy không in nổi_x000D_
Làm ăn quá tệ",0,0,,
369,lừa gạt ko hề có mực trong ống nha mọi ng đừng mua shop này.,0,0,,
384,"Trước giờ toàn mua ở cửa hàng Fasaha và *** Smarkbook được anh chị em giới thiệu mua lần đầu bên tiki đặt 4 đơn mỗi đơn 4 5 quyển,nhận 1 lần hết luôn nhưng có 4 5 quyển bị móp méo vậy? mình tìm cách liên hệ shop tiki không có mục nhắn tin? Nếu mình muốn đổi trả những cuốn bị móp méo thôi thì sao ạ? Không phải đổi trả hết tất cả ???",0,0,,
391,"Sản phẩm quảng cáo sai sự thật. Ghi 220 tờ nhưng chỉ được khoảng 50 tờ khổ khoảng 20x20cm. Hình chụp cuộn giấy rõ đẹp, nhận hàng cuộn giấy rõ chán. Bóc ra thì thấy giấy cũng tốt. Nhưng giá bán quá cao và không đủ như quảng cáo.",0,0,,
395,"Cuốn sách kỳ vọng nhất trong đợt này mà thất vọng quá. Sách quá bẩn, bụi nhiều, cầm dơ tay, còn bị cuốn góc, dơ bìa ngoài hết lun, nhìn như sách cũ mặc dù xuất bản 2020. Cần cải thiết chất lượng bảo quản sách trong kho trước khi bán cho khách",0,0,,
404,"Nắp đậy không cố định được, vì chỉ có 1 lẫy phía bên trái, còn phía trên và bên phải ko cáo lẫy nên ko dính nhau được.

Video trên tờ hướng dẫn không truy cập được, video trên Tiki thì quá mờ.",0,0,,
430,Quảng cáo usb 3.0 giao hàng lại là 2.0,0,0,,
479,"Trước giờ vẫn luôn rất tin tưởng tiki nhưng không hiểu sao cuốn tập 2 này khi về tay mk lại ko còn nguyên seal có dấu vết đã đc mở ra đọc trước đó, shop còn dán thêm team vào trên bìa lúc bóc ra thì bìa dính bị dính keo nhìn rất bẩn lần này mua rất thất vọng.",0,0,,
485,"Thực sự là chưa lần nào mua sách của tiki mà mình nhận được sách trong tình trạng “mới” cả. Quyển này mình nhận về rất bụi, bìa xước, mép quoăn mình phải dán băng dính vào. Bìa ngoài có cảm giác đã mở ra đóng vào nhiều lần rồi chứ không phải bìa sách mới. 
2 quyển của keigo cùng đơn thì đỡ hơn một chút nhưng nói chung cũng quoăn mép. Và khoản này thì Tiki thua xa Fahasa, mình nhận sách Fahasa quyển nào họ cũng có seal và bọc chống sốc cho đơn. Vậy nên không biết là người thứ bao nhiêu nói về vấn đề rồi nhưng thực sự nếu tiki không cải thiện chất lượng bập bõm thế này thì rồi sớm rồi muộn khách hàng sẽ đi.",0,0,,
493,"Sách in đẹp, nội dung hay nhưng khi mình nhận được hàng thì sách bị rách góc như hình nên hơi buồn. Tiki nên chú ý hơn việc đóng gói và vận chuyển sách",0,0,,
545,hàng hoàn toàn khác với hình. Thông số cũng hoàn toàn khác. nói chung đừng mua.,0,0,,
567,máy test không dùng được.,0,0,,
568,Quá dễ nhiễm virus..........,0,0,,
571,Nhà xuất bản trẻ làm ăn k uy tín. Chuyên có kiểu nửa chừng đổi giấy. 45k 1 tập mà chất lượng giấy xấu k chịu đc,0,0,,
575,Bao bì quá tệ. Miếng đệm chống nước đầu dây không đạt yêu cầu. Nhà cung cấp nên xem lại sản phẩm trước khi giao cho khách,0,0,,
592,Tiki mình bị 2 lần giao sản phẩm không đúng như ghi chi tiết sản phẩm bán rồi. Mua về đem ra sử dụng sản phẩm không có chốt bấm cải bẩy này nó dính vào đâu. Thôi từ giả nhé tiki.,0,0,,
613,"mua sách bên tikiTrading có trải nghiệm cực kì tệ , sách dơ ,rách gáy",0,0,,
