content,Quality,Service,Shipping,Packing
1,Mình đặt hàng màu trắng shop giao màu đen,,0,,
9,Tệ: giao nhầm hàng. Yc giao lại sớm nhất.,,0,,
13,giao cho tôi găng tay thực phẩm của người nào đó chứ không phải cục khuyếch đại wifi Mercusy,,0,,
17,"Treo máy XP 350B, giao máy XP 365B, treo máy này bán máy kia khác nào lừa khách hàng. Khiếu nại phải chờ và chờ không biết đến khi nào",,0,,
30,"Tôi đợi mãi không thấy hóa đơn đỏ. bảo là sau 14 ngày có, nhưng nay thì ko biết mấy tháng rồi",,0,,
35,"Chưa test hàng, chưa thể đánh giá. Nhưng tôi yêu cầu xuất hoá đơn VAT, giao xong báo khọng xuất. Đề nghị Tiki xem lại.",1,0,,
39,bkav chỉ hỗ trợ khách hàng trong giờ hành chính. khách mua bản quyền vẫn không có bất kỳ hỗ trợ gì thêm.,,0,,
41,"Chưa đánh giá gì hết tính out ra chụp hình thì đã tự nhảy 5 sao, ghét quá sửa lại 1 sao.",,0,,
46,Mua loại 1 tia (pointer) sao lại giao hàng nhiều tia như trong hình?,,0,,
48,"đã nhận được bộ phát sóng, tuy nhiên trong giới thiệu có ghi chuyển đổi từ mạng không dây sang mạng có dây nhưng trong cài đặt lại không có chế độ này, cần tiki hỗ trợ sớm hoặc đổi sản phẩm có chế độ này. Cảm ơn mình xin phép để tạm 2 sao.",,0,,
64,Chưa đọc mà Tiki cứ xuất hiện yêu cầu mình đánh giá sách,,0,,
67,TiKi giao hàng không đúng như đơn đặt hàng rồi. Đề nghị đổi trả lại đúng sản phẩm như giới thiệu.,,0,,
95,"Mình kiểm tra và muốn mua M7350, nhưng lại không có Tiki NOW. Mình vừa nhận M7200 chưa kịp mở hộp thì 5 phút sau M7350 lại ship Tiki NOW. Mình có gọi hỗ trợ nhờ đổi hàng để đặt lại con mình muốn thì Tiki bảo con này không được đổi trả. 

1. Tại sao chỉ trong 15-20 phút lại có sự thay đổi hàng ship Tiki NOW?
2. Khách yêu cầu trả hàng để mua lại sản phẩm mong muốn lại không được hỗ trợ? 

Trên trang sản phẩm không có chỗ nào nói là không được đổi trả cả, phải gọi điện hỏi mới biết. Sản phẩm mình từng mua con tương tự trước đó rồi nên mình cũng khá hài lòng với sản phẩm, nhưng dịch vụ của Tiki thì phải xem lại.",,0,,
96,Chết dưới 9 điểm pixel thì đừng mong đổi trả nhé các bố mẹ. Cạch mặt tiki,,0,,
109,giao hàng thiếu cái này mà tính tiền luôn,,0,,
115,"hix quảng cáo bên ngoài thì để bình 1,5 lít . ko xem kỹ đặt luôn đến lúc giao thay 1,2l vào xem lại đơn đặt mới biết mình bị lừa. làm ăn gì kỳ thế này.",,0,,
128,"Mua pin cúc áo gắn đồng hồ và đèn led shop giao pin này ko biết sài cho cái gì luôn ,mặc dù giá tiền ko lớn cho đổi lại dc ko?",,0,,
135,"Đặt máy xp 350 giao xp365, sp giao nhầm giá rẻ hơn sp đặt mua, treo đầu dê bán thịt chó, hình như   cũng có nhiều khách bị giao sai giống mình, cái shop làm ăn lừa đảo chứ ko phải do sai sót nhầm lẫn, tiki nên xét duyệt shop kĩ càng hơn !!!",,0,,
139,hàng giống mô tả nhưng không tư vấn trước khi gửi hàng thành ra nhầm hàng liên hệ đổi trả khó khăn thiếu uy tín,,0,,
143,"Giao nhanh, sản phẩm ổn. Không có thông tin gì về chính sách bảo hành",1,0,1,
206,Nội dung sách rất hay nhưng dịch vụ đợt này giao hàng qua tệ. Báo 1/7 giao mà 4/7 ngay sau khi phản ánh TikiCare thì sách mới tới. Còn hộp thì như hình =.=,1,0,,
211,"TIKI giờ làm ăn chẳng ra gì , 2 đơn hàng dự kiến giao là 19/7 và 26/7 mà đen nay 23/9/21 vẫn chưa giao ???",,0,,
215,xử lí lâu thiếu quà tặng khi mua bản đặc biệt,,0,,
237,Lua đảo nhe ng ban hang lua dao,,0,,
253,"Chờ đổi trả
Sách k bookcare, cũng k kiểm tra trước khi giao",,0,,
254,"Máy chưa thấy lỗi gì, nhưng sau bán hàng shop hỗ trợ hơi chậm, rất mong shop hỗ trợ nhiệt tình hơn!!! 
xin cảm ơn",1,0,,
255,"sau nhiều ngày liên lạc với tiki hk đc giải quyết, mình nhận đc hàng sau 20 ngày. đây hk phải lỗi bên nhà vận chuyển mà là lỗi ở bên tiki. mãi là hk chịu giao. còn nội dung cuốn sách ổn",1,0,,
258,"mình đặt 15 cái ,giao đc 1 cái thiếu 14 cái, mà ko trừ tiền hoặc bù cái khác bằng giá, cho đc 9 đầu bấm j145...thiếu shop cũng ko bảo j",,0,,
310,"Tốt nhất là các bác nên ra ĐMX hoặc TGDD mà mua cho nhanh và đảm bảo. Đơn hàng giá trị mà phục vụ quá kém. _x000D_
Tiki hỗ trợ quá kém về phần xuất hóa đơn cho khách hàng.",,0,,
326,Shop giao thiếu miếng gạc rác,,0,,
362,"Shop giao nhầm đầu dây sac cho mình, cổng này là cổng tròn to ko phải cổng vuông",,0,,
365,bình đẹp dễ thương  mà cho 3 sao vì bực bội  con mình đã chọn và mong đợi nhận mẫu con gấu trắng đội cái túi xanh trên đầu mà gửi mẫu con gấu điệu túi..... chán ơi chán... ko quan tâm đến mẫu của Khách đặt thì để option lựa chọn làm gì sao không để ngẫu nhiên cho rồi.. tức.,1,0,,
373,"Tiki làm ăn thiếu chuyên nghiệp, coi thường khách hàng.
Bản thân tiki giao nhầm cho tôi 1 đơn hàng giá trị lớn hơn, tôi hỗ trợ đổi trả rất nhanh gọn nhưng nhân viên bảo tôi hoàn tiền từ 3-5 ngày mà hiện tại ngày thứ 9 rồi.

Từ ngày 14/07 đến 22/07

*** gọi từ số này, gọi lại thì không được.

Tôi mua cả vài chục triệu tiền hàng nhưng vì có 200k mà các anh làm ăn khiến tôi bực mình quá. Nhận xong hàng là im ru ngay. 

Lừa đảo!",                                                                                                                                                                                                                                                                                        ,0,,
374,"bán hàng mà không gởi hướng dẫn ráp và cũng không có ốc vít, không biết làm thế nào",,0,,
381,"Mua sách tiki lâu nay, lần đầu tiên nhận sách chưa bọc bookcare, 3sao vì mất thời gian đổi trả, còn sách thì ok
Bìa sách màu trắng nên nhìn khá rõ dấu tay của các bạn trong kho :(",,0,,
386,Không có bản hướng dẫn lắp đặt. Tuy nhiên gói hàng và giao hàng ổn. Hi vọng lần sau shop lưu ý,,0,1,1
389,Giao hàng nhưng chưa thấy xuất hoá đơn,,0,,
405,không thấy xuất hóa đơn VAT,,0,,
407,"Về chất lượng: tôi luôn tin tưởng khi mua sách trên Tiki, tủ sách của tôi hầu như đều là mua trên tiki
 
Lần đầu đánh giá 2 sao: đã tích chọn sử dụng bookcare, trên hệ thống cũng ghi nhận trong đơn hàng, cũng bị trừ lượt sử dụng. Nhưng khi nhận sách cả 2 quyển ko được bọc

Có thể do bạn nhân viên đóng hàng bất cẩn ko xem kĩ thông tin đơn hàng. 

2 bọc sách ko thể nói lên chất lượng, nhưng sẽ phảm ánh thái độ làm việc.",,0,,
409,"khi bạn bán máy,thì chỉ cần text đc là OK,! bạn cài máy,nó báo text, mà bạn ko có 1 tờ giấy để text,nếu bạn bán máy thì hãy note thêm vào,tốt nhất là bán kèm theo.đúng ra là 5 sao,nhưng chỉ vì lỗi này thì bạn chỉ đáng 1 sao,những cái đơn giản nhất là những cái mà bạn cần quan tâm,vì đơn giản thì khách hàng mới bít đc,phức tạp thì khỏi quan tâm đi.",,0,,
413,"Giao thiếu hàng và sai hàng shop ơi, đặt hai loại vòi mà giao được một loại, loại đặt 1 cái thì giao hai cái, mà loại đặt 2 cái thì không có cái nào.mong shop cẩn thận hơn khi giao hàng cho khách ạ",,0,,
428,"lần đầu rate thấp vì trải nghiệm mua hàng thật sự tệ. đặt lần 1 từ 11/8 đến 18/8 đơn bị hủy k hề biết, đến khi gọi đt lên tổng đài thì nhân viên bảo đơn bị hủy (mà đơn vẫn trong trạng thái đang vận chuyển). Mình thông cảm vì dịch nên có thể vận chuyển khó khăn, đặt lại đơn từ đầu t9, chỗ mình lúc đó có thể giao nhận hàng ok r mà mất 1 tháng mới nhận được đơn, đã vậy mở box ra thấy sách bị ntn, thực sự thất vọng với tiki và cách xử lí khiếu nại của tiki",,0,,
432,"Bán hàng gian lận,đơn thanh toán trước chứ không tôi đã trả hàng. Lúc thanh toán 11cuốn nhưng giao thiếu hàng. Khiếu nại thì nói là do tôi không có stick vô quà tặng 😬😬😬. Pó tay shop…🙄🙄🙄",,0,,
438,Người bán không xuất hóa đơn dù đã yêu cầu ngay khi đặt hàng. Nếu không xuất được có thể hủy đơn hàng,,0,,
450,"đây là lần thứ 2 mình phản ánh vấn đề này với Tiki
Lần đầu mình đặt mua sách đi kèm với bookcare (đơn hàng 759928678) nhưng khi nhận hàng chỉ có sách, sau đó Tiki gọi điện xin lỗi và thu hồi sản phẩm để bổ sung bookcare. 
Nhưng tới hôm nay nhận hàng thì sách vẫn y nguyên như lúc chưa thu hồi - vẫn không có bookcare. (đơn hàng 735340185) 
Đề nghị Tiki hoàn tiền bookcare hoặc thu hồi sản phẩm bổ sung bookcare cho mình. Thất vọng với Tiki lần này quá !!!",,0,,
453,shop giao thiếu hàng rất chán, ,0,,
473,"mình đã nhận hàng, chất lượng giấy ok, nhưng shop xuất hd cho mình có 4k phí vận chuyển à, còn hóa đơn giấy thì không không nhận đc.",1,0,,
481,"Chúng tôi mua nhiều hàng, nhưng chưa nhận được hoá đơn vat từ nhà cung khác tiki trading",,0,,
482,sử dụng hơi bị mệt vì phải chỉnh nút thường xuyên,,0,,
483,"Kệ bị móp méo trong quá trình vận chuyển. Mình chỉ chụp 2 trong nhiều chỗ nặng.  Bị thiếu mất 1 con ốc làm khá khó chịu. Sao không cho dư thêm vài con cho chắc ăn. Về phần kệ thì cũng tạm, tiền nào của đó",,0,,
486,"Khi đặt hàng xong, ko thấy ai lien lạc xác nhận, nhưng vẫn giao hàng",,0,,
491,Đặt sạch bản  màu mà tiki giao sách bản k có màu,,0,,
495,Đơn hàng đặt 4 chiếc nhưng shop chỉ giao có 3 chiếc ly!!!!!,,0,,
505,"Đơn hàng giá trị cao, mua cho công ty, tôi yêu cầu hóa đơn VAT nhưng không nhận được, đã gọi lên tổng đài 3 lần nhưng chỉ toàn hứa hẹn sẽ giải quyết. Chỉ có 1 câu trả lời là chờ 48 tiếng.",,0,,
515,"Shop ghi là V.5 nhưng khi nhận được là loại V.4, yêu cầu sửa lại mô tả cho đúng với sản phẩm bán.",,0,,
518,"(*) Đánh giá không tính điểm
Yhhhhhhj có thể tặng kèm đơn giản rồi nhe anh Lính già ko có gì mới",,0,,
525,Chọn màu trắng mà gởi màu đen khách chọn màu nào thì gởi màu đó không nên tự ý gởi màu khác,,0,,
536,Mẫu hàng ghi kt là 1.2x2.0m nhưng giao lại là 1.2x1.9n không đúng mẫu.,,0,,
541,Giao hàng không đúng mẫu vậy shop,,0,,
542,"Giao hàng nhanh chất lượng ổn, nên quảng cáo đúng xuất xứ nơi sản xuất nhé shop",1,0,1,
578,"Giao  thiếu một đees 



Shop giao thiếu một đế chân cao su",,0,,
579,Đặt kích cỡ 15x 10 đưa hàng 9x9,,0,,
585,KHÔNG XUẤT ĐƯỢC HÓA ĐƠN GTGT,,0,,
587,đã lưu ý bé trai mà giao màu hồng.,,0,,
598,"Mua khổ 14,5*20,5 mà giao khổ11,5*16,5",1,0,,
603,"Shop đăng có khuyến mãi bình giữ nhiệt nhưng ko thấy giao hàng. Hộp cơm nhỏ gọn,  phù hợp chị em phụ nữ mang cơm.",1,0,,
609,khi đặt hàng có yêu cầu xuất hóa đơn đỏ và cung cấp thông tin đầy đủ mà nhận hàng đã được 1 tháng luôn rồi vẫn chưa có hóa đơn,,0,,
619,"Chua nhan đuoc hang minh dat , ma tren day keu minh danh gia , minh danh hía kem",1,0,,
627,"Giao hàng ko đúng, phản hồi ko trả lời",,0,,
629,sao shop chưa gửi hoá đơn ạ,,0,,
653,Tin giá 35.000đ bộ 8 pin mình phải mua với giá 60.000đ hơi buồn,,0,,
660,Giao chỉ 1 cuốn là sao vậy?,,0,,
666,Chưa thấy hoàn astra cho mình,,0,,
680,"Tiki giao nhầm hàng rồi. Không phải 3 hộp riêng lẻ vầy. Mình cần loại 1 hộp chia 2 ngăn. Đơn hàng này mình bị hẹn đi hẹn lại nhiều lần rồi, cuối cùng vẫn không đúng. Mình muốn đổi hàng.",,0,,
685,"Đặt đèn giao cường lực IP 7, chất lượng tiki ngày càng tệ",,0,,
691,Trưa ngày 29 Tiki có giao hàng bộ sản phẩm. Vì đi làm nên không kiểm tra được. Lúc kiểm tra thì không có đi kèm bộ quà tặng (GIFT 0Đ). Tiki vui lòng kiểm tra lại.,,0,,
692,"Đèn tốt, giống hình. _x000D_
Nhưng mình có đặt kèm 3 bóng đèn nhưng ko thấy. Very bad",1,0,,
711,"Đơn hàng mình đã nhận sau 1 tháng đặt hàng (từ 22/7 đến 22/8), đơn hàng bị quên. 
Mình phải gọi điện cho hỗ trợ lần 1 thì họ xin lỗi xong cũng ko mail hay báo lại thời gian giao hàng để mình được biết (Dù chỉ là thời gian dự kiến).
Sau 3 ngày mình gọi lần 2 thì họ hỗ trợ báo đã báo bên tiếp nhận và cũng ko biết đc khi nào, nếu ko đợi được thì hủy đơn hàng, xong mình hỏi nếu đặt shop khác nhưng vẫn ở Tiki thì liệu có bị chậm như vậy ko, nếu đặt mà chậm như vậy thì thôi đợi cũng đc thì nhân viên nói không biết :(.
Mặc dù NV hỗ trợ rất lịch sự nhưng cách làm việc cũng như giải thích mình thấy chưa giải quyết đc vấn đề.",,0,,
722,dịch vụ đổi trả quá khắt khe tốt nhất không nên mua,,0,,
723,"Đặt liền 1 giá 3 tầng, 1 giá 4 tầng, đã nhắn tin cho shop nhờ giao cùng màu. Nhưng nhận 1 giá xanh, 1 giá trắng. Hàng ok nhưng shop bán ko có tâm.",1,0,,
731,Rao bán 840 gửi hàng 820. Làm ăn bố láo,,0,,
737,"Nếu ai không biết gì về kết nối hay lỗi máy thì k nên mua, mình k biết kết nối laptop với màn hình mà gọi tiki hỗ trợ cũng k thấy bên kỹ thuật liên hệ, thà mua máy bên ngoài còn có nhân viên họ cskh. Lần đầu mua cũng như lần cuối, giao hàng lâu mà còn chăm sóc KH tệ. Mình phải gọi tổng đài Gear và Phong Vũ để nhờ sự trợ giúp mà họ còn chăm sóc nhiệt tình dù k mua hàng bên họ. Chấm 1 sao vì mình còn chưa sử dụng được máy và bên chăm sóc Kh quá tệ. Mình đợi hết giờ hành chính cũng không thấy ai liên hệ hướng dẫn.",,0,,
739,"đã hỏi về vấn đề xuất hóa đơn để thêm thông tin, giờ lại nói giao thành công rồi không xuất được nữa",,0,,
743,"Mình mua 2sp đã thanh toán, 1 tuần sau giao 1 sp, 10 ngày sau thì huỷ đơn ko giao sp còn lại. Gọi tổng đài thì ko ai trả lời. Không phản hồi cách xử lý hoàn tiền cho khách hàng, không bao giờ mua hàng trên tiki nữa",,0,,
748,số lượng rệp không đúng thiếu đến gần 30 con!,,0,,
754,"thiếu sản phẩm, thiếu 1 miếng lót bên dưới hộp",,0,,
767,"Tôi khá bất ngờ khi nhận sản phẩm, bởi vì kích thước nhà quảng cáo không nói rõ ràng, hình ảnh chụp lớn nhưng sản phẩm nhận thì nhỏ! Sản phẩm này được miễn phí vận chuyển nhưng lại được tính trong giá sản phẩm! Hai điểm tôi thấy không hài lòng về nhà quảng cáo",,0,,
773,shop giao thiếu cho mình 1 khăn mặt:(((,,0,,
820,"Trên trang bán hàng là made in Viet Nam, thực tế là TQ",,0,,
829,"Máy in đẹp, hiện tại đang dùng bình thường. Cho máy in HP LaserJet Pro MFP 135w 5 sao về chất lượng._x000D_
_x000D_
Shop chuyển hàng đúng hẹn như thông tin trên website của Tiki, nhưng Shop IT CHÍNH HÃNG (HCM) hứa hẹn lần lữa mãi không chịu xuất Hóa đơn cho khách, xứng đáng 2 sao về phục vụ 😒😒",1,0,,
833,Tôi mua vợt muỗi hiệu DP-834 sao lại giao tôi loại này KLZ-918,,0,,
840,Đặt màu hồng nhưng khi nhận được lại là màu khác ???,,0,,
842,dịch vụ đổi trả quá khắt khe tốt nhất không nên mua,,0,,
844,đặt vân gỗ lại giao màu trắng,                                                              ,0,,
868,tiki đợt này giao sách chán quá,,0,,
871,Đặt pin maxell giao pin ABC,,0,,
882,Đặt sản phẩm này thì giao sp khác., ,0,,
