Unnamed: 0,content,Quality,Service,Shipping,Packing
101,"Giao hàng chậm,sản phẩm không đúng 30watt,bóng đèn không được sáng lắm so với cùng sản phẩm cùng thương hiệu.",0,,0,
184,"Khoảng hở gốc rất lớn ọp ẹp _x000D_
_x000D_
Bên giao hàng thì tào lao, giao ngày 18 Tây mà mãi đến 24 Tây vẫn chưa cập Nhật đã giao hàng thành công_x000D_
Có dấu hiệu lương lẹo bất chính _x000D_
Rọc lấy tem giao hàng mang về rất mờ ám",0,,0,
217,Thật sự rất bực mình. Giao hàng trễ thì ko sao vì hình dịch bệnh. Nhưng mà mình mua 2 cuốn mà cả 2 đều bị hỏng góc sách như thế này. Mà sách nhìn cũ như đã bị sử dụng. Mình mong lần sau mua hàng sẽ ko phải nhận sách kiểu này nữa,0,,0,
396,"Sách thì hay rồi giao hàng nhanh mà ko bit là sạch bị móp bên hông trc khi vận chuyển hay laf trong quá trình vận chuyển ms bị. Thấy đóng gói chắc chắn lắm, dày lắm  huhuu đau lòng quá chừng 😭😭😭",0,,0,1
452,"Giao hàng thì giao trễ, sách thì bị nhăn một vài chỗ, làm ăn cái kiểu gì kì lạ",0,,0,
987,"Tôi đặt hàng 1 gối ôm và 1 vỏ gối, đã thanh toán trước và khi nhận hàng (muộn 1 ngày) thì chỉ có 1 gối ôm. Giá thành của vỏ gối bằng 2/3 giá gối. Nhắn tin với bên bán hàng không thấy trả lời.",0,,0,
1043,"Chất giấy ko đẹp lắm, giao hàng lâu",0,,0,
1052,"Sản phẩm thì trầy xước, các cạnh bong tróc lớp áo ngoài. Các thanh gỗ thì mỏng manh. Xiết vít hơi mạnh tay là bị nứt ngay luôn._x000D_
Tôi chấp nhận mua sp này với giá cao hơn các shop khác vì có dịch vụ Tikinow. Không biết vì lý do gì shipper giao 0 đúng giờ. Anh ta xin hẹn giao hàng trễ hơn, tôi cũng ok. Vậy mà anh lại báo cho Tiki là giao hàng lần 1 thất bại vì khách khất hẹn.",0,,0,
1118,"Mua máy có tặng kèm sạc anker nhưng lúc nhận máy không có sạc anker, đơn hàng anker tự huỷ, không có shipper gọi",0,,0,
1122,"Sản phẩm vừa giao đến gỡ ra thì bị gãy. Đơn hàng này giao khá lâu, bỏ công chờ đợi r nhận hàng gãy, hơi buồn ? cũng 55k cái khay chứ ít ỏi j đâu",0,,0,
1265,"Giao hàng rất chậm, sản phẩm bảo hành 1 năm?!? chưa ""bốc tem"" đã nhìn thấy hỏng.",0,,0,
