content,Quality,Service,Shipping,Packing
5,"Không hiệu quả, chuột vẫn vào",0,,,
8,Cắm điện đèn sáng nhưng không có sạc usb như trong mô tả.,0,,,
10,ổ lỗi vì khi cắm phích vào lõng lẽo ko chặt. đáng 1 sao.,0,,,
14,Miếng dán không đúng như hình giới thiệu.,0,,,
15,"sản phẩm kém chất lượng, đầu ống với đầu vòi k dính với nhau lỏng lẻo",0,,,
16,tam được tiền nào của nấy,0,,,
20,"Mới dùng 1 lần, đầu ngón tay đã rách",0,,,
21,"mua lần 2 rồi nhưng thất vọng ghê, đặt 2 kệ 2 tầng nhưng chỉ giao có 1, làm mình phải đặt lại",0,,,
25,"Giao nhanh, bọc book care đẹp nhưng có vài trang bị lỗi lủng lỗ ở giữa",0,,1,1
27,mạng vẫn yếu chưa như ý deco e4,0,,,
34,"Bị khô vón cục,không bơm keo ra được",0,,,
36,Hjjjb có thể giữ được su dung may tinh bang có thể giữ được,0,,,
38,"In màu bị khá xấu mờ, đục với ám vàng khá nhiều. In bằng wifi qua app brother trên điện thoại thì 1 lần chỉ được 50 trang, lâu lâu in bị dính giấy, mực cũng hao nhiều. Máy in hơi lỏng lẻo không chắc chắn :(((
Còn độ hoàn thiện cao máy đẹp dễ dùng đa chức năng.
3*",0,,,
42,"miếng dán quá kém, được 2 hôm bong luôn",0,,,
43,"hàng có hộp, đóng gói ok. nhưng hàng không dùng được mặc dù đã thử cả hai loại pin và đã sạc pin qua đêm.",0,,,1
45,"lắp vào bật latop lúc lên lúc không lên, thay cái bàn phím cũ vào lên luôn. hàng kém chất lượng không tương thích.",0,,,
49,Ko cách âm lắm 🥲 nhưng cho ủng hộ 3 sao,0,,,
51,Cách viết rất chán đọc cực mệt,0,,,
52,"Binh lọc nước bị nứt vỡ, hàng thương hiệu Đức sao chất lượng kém quá. Bảo hành sao shop?",0,,,
54,"Hàng kém chất lượng, không treo được.",0,,,
55,80W mà không sáng bằng cái đèn downlight 9W,0,,,
56,"Roăng cao su ở nắp bình rất kém, lần đầu tiên tháo ra đã bị rách roăng cao su rồi (giăng cao su như làm bằng cao su tái sinh không có độ đàn hồi)",0,,,
58,"Hàng không tốt, hàng có xài rồi,tem bị bóc, lấy đại ủng hộ tiki",0,,,
59,"Bộ lau nhà ok, ko hỏng gì hết, nhưng mà chắc ko phải Sunhouse thật vì bộ cũ của mình mua ở Sunhouse dầy dặn hơn rất nhiều. Thôi rẻ hơn chính hãng 1 nửa thì chất lượng thấp hơn đúng rồi.",0,,,
62,"Nhìn quển sách như sách cũ vậy á, mình biết là sale nhưng mà đừng đến mức vậy chứ",0,,,
63,cáp sạc pin không vào điện,0,,,
66,"quá tệ, 
kết nối qua chậm",0,,,
