Unnamed: 0,content,Quality,Service,Shipping,Packing
81,"Sản phẩm đóng gói sơ sài , lắc được trong hộp, hdd chắc lúc vận chuyển cũng lắc được vài trăm lần
Ngày nhận mưa to nên hộp có ướt nhẹ (chắc là không phải do nước làm ổ có vấn đề)
Check ngoài hình thì thây có cấn nhẹ 1 góc như ảnh
Nhưng có vẻ là ổ cứng không hoạt động
Cố gắng tìm cách Initialize disk để phân vùng ổ nhưng không được
Vui lòng liên hệ để hỗ trọ hoặc đổi sản phẩm khác
Thanks TIkicare",0,1,0,0
830,"Giao hàng rất lâu_x000D_
Sản phẩm bị móp góc_x000D_
Box thì cong nhẹ",0,,0,0
1339,Hàng ship tới bị gãy khá nhiều. Màu lẫn lộn nhau. Đầu bút bị đen. Rách giấy bọc bên ngoài.,0,,0,0
1616,Có nhiều chức năng ko dài đc giao hàng thiếu đóng gói ko đàng hoàn bị bể giao lâu,0,,0,0
2145,"quá tệ. giao trễ mình ko phàn nàn vì dịch bệnh đi lại khó khăn. nhưng đóng gói lỏng lẻo, sách cong và hư hỏng hết cả 3 cuốn",0,,0,0
2434,"Đây là cuốn sách tuyệt vời.
Về hình thức, có thể trong quá trình vận chuyển hoặc lỗi ban đầu mà sách bị nhăn phần gáy dưới, nhưng trong mức chấp nhận được. Mong tiki giao hàng những lần sau bọc thêm lớp mút xốp hoặc lớp giấy/báo để tránh làm sách hư hỏng (nếu lỗi do quá trình vận chuyển)",0,,0,0
2702,"sách cũ, bìa bẩn, rách mép, đóng gói ẩu, giao hàng quá tệ",0,1,0,0
3413,"Dịch vụ kém, giao hàng chậm hơn 1 tuần nhưng không đc thông báo rõ ràng. Hàng mua gần 25tr mà giống hàng chợ 25k, nhìn cách đóng gói và vận chuyển ra thùng hàng bung bét thế kia là hiểu cách làm ăn ra sao. Sẽ không mua lại lần 2!",0,1,0,0
4092,"Hàng đã được rạch nhãn liêm phong của nhà sản xuất trước đó. Đồ đạc bên trong lộn xộn. có khả năng đã bị tráo đồ dụng cụ đi kèm khoan. vì dụng cụ như đồ chơi trẻ em nên không sài được. Tuy nhiên cái khoan coa vẻ chính hãng vì độ hoàn thiện của vỏ khá tốt. khi khoan chổi than đánh lửa nhìn khá ghê. khoan gỗ vớ vẩn thì ok chứ khoan tường, bê tông thì hơi yếu. Check bảo hành thấy báo chính hãng mà đang cần sài nên sài rồi chả nhẽ kêu đổi trả thì vô sỉ quá nhưng không hài lòng vì mua của Tiki Trading. Là dân cơ khí sài nhiều khoan của Bosch mình thấy model này không được tốt vì giá rẻ. Tiki now 24h nhưng đến 48 - 50h mới nhận được . đóng gói sơ sài. Cảm thấy hơi tiếc tiền khi mua gói Tiki now vì nhận hàng chậm mà hàng lại không như ý.",0,1,0,0
5229,"Tiki giao chậm như rùa, một quyển sách ship nội thành mà trong hai tuần mới ship nổi, bìa sách còn bị xước, bám đầy bụi??? Nhìn tưởng sách đồng nát buôn chứ hãng lớn nào làm ăn thế này??? Chắc các bạn để mốc meo trong kho rồi mới nhớ ra cái đơn này mà chuyển???",0,,0,0
5279,"sản phẩm cũ, vỏ hộp thi hôi không chấp nhận được",0,,0,0
5934,"Lần này thật sự thất vọng về tiki. Đặt 2 quyển ĐNT với totto chan. Thì từ 1 đơn thành 2 đơn. Phát sinh thêm phí vận chuyển. Điều đáng buồn hơn là giao hàng chậm trễ. Sau khi mở hợp thì sách nhận được khá nhăn nheo, thậm chí bị rách. Hy vọng tiki sẽ khắc phục tình trạng này.",0,,0,0
6115,"hộp sách nhăn móp.sách nhăn góc ,bìa móp , bị sướt và dơ ,thất vọng  tiki quá .  tiki nên cho shipper giao cẩn thận để sách lại chứ bị mép góc sách quài bực mình lắm ạ hoặc cho lót giấy bên ngoài bảo vệ sách .
e còn 8 đơn  hàng mà tiki giao sách bị nhăn góc, dơ  , sướt nữa chắc có lẽ sẽ k nhận mong tiki chỉn chu khâu của mình hơn",0,,0,0
6160,"Dù là trời mua nhưng nhà sách có thể bọc gói kỹ càng hơn được không ạ? Sách giao đến tay khách hàng như thế này thì rất là quá đáng luôn ấy ạ, dù 93k không phải lớn lao nhưng bán hàng thì phải có tâm chứ nhỉ? Mình cực kỳ thất vọng là không chỉ các bạn không bọc gói kỹ càng dẫn đến sách bị mủn và rời hẳn bìa ra mà còn dán thêm miếng xốp giữa 2 phần bìa và phần bìa trong bị ố vàng nhìn rất phản cảm và dối trá. Mình cần nhận lại refund cho quyển sách này và không chấp nhận trả tiền cho sự cẩu thả và thiếu tôn trọng khách hàng này.",0,,0,0
